snapshot_utc,snapshot_swe,match,home_team,away_team,kickoff_utc,kickoff_swe,bookmaker,home_odds,draw_odds,away_odds,spread_team,spread_point,spread_odds,total_line,over_odds,under_odds,last_update
2026-06-16 08:54:52,2026-06-16 10:54:52,France vs Senegal,France,Senegal,2026-06-16 19:00,2026-06-16 21:00,pinnacle,1.51,4.59,6.67,France,-1.0,1.85,2.5,1.88,2.02,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,France vs Senegal,France,Senegal,2026-06-16 19:00,2026-06-16 21:00,pinnacle,1.51,4.59,6.67,Senegal,1.0,2.08,2.5,1.88,2.02,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Iraq vs Norway,Iraq,Norway,2026-06-16 22:00,2026-06-17 00:00,pinnacle,14.44,7.31,1.21,Iraq,1.75,2.07,3.0,2.05,1.86,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Iraq vs Norway,Iraq,Norway,2026-06-16 22:00,2026-06-17 00:00,pinnacle,14.44,7.31,1.21,Norway,-1.75,1.86,3.0,2.05,1.86,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Argentina vs Algeria,Argentina,Algeria,2026-06-17 01:00,2026-06-17 03:00,pinnacle,1.44,4.61,8.37,Algeria,1.25,1.89,2.5,2.06,1.85,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Argentina vs Algeria,Argentina,Algeria,2026-06-17 01:00,2026-06-17 03:00,pinnacle,1.44,4.61,8.37,Argentina,-1.25,2.04,2.5,2.06,1.85,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Austria vs Jordan,Austria,Jordan,2026-06-17 04:00,2026-06-17 06:00,pinnacle,1.38,5.21,8.5,Austria,-1.25,1.88,2.5,1.85,2.07,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Austria vs Jordan,Austria,Jordan,2026-06-17 04:00,2026-06-17 06:00,pinnacle,1.38,5.21,8.5,Jordan,1.25,2.04,2.5,1.85,2.07,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Portugal vs DR Congo,Portugal,DR Congo,2026-06-17 17:00,2026-06-17 19:00,pinnacle,1.28,5.76,11.62,DR Congo,1.5,2.03,2.75,1.96,1.93,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Portugal vs DR Congo,Portugal,DR Congo,2026-06-17 17:00,2026-06-17 19:00,pinnacle,1.28,5.76,11.62,Portugal,-1.5,1.88,2.75,1.96,1.93,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,England vs Croatia,England,Croatia,2026-06-17 20:00,2026-06-17 22:00,pinnacle,1.74,3.87,4.97,Croatia,0.75,1.93,2.25,1.94,1.94,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,England vs Croatia,England,Croatia,2026-06-17 20:00,2026-06-17 22:00,pinnacle,1.74,3.87,4.97,England,-0.75,1.98,2.25,1.94,1.94,2026-06-16T08:54:50Z
2026-06-16 08:54:52,2026-06-16 10:54:52,Ghana vs Panama,Ghana,Panama,2026-06-17 23:00,2026-06-18 01:00,pinnacle,2.24,3.4,3.41,Ghana,-0.25,1.93,2.25,2.05,1.85,2026-06-16T08:54:50Z
